"","id","y","time","trait","measure","family","Sex","CapAgeYears","Twin","jdateMC","birthjdateMC","PopDensMC","MumAge"
"5896",1229,13,1997,"s","LAW","gaussian",1,1,0,-3.01869488536155,3.59223985890652,45.6747795414462,7
"4969",8730,15,1993,"s","LAW","gaussian",1,1,0,-2.01869488536155,-3.40776014109348,-53.3252204585538,3
"5055",12396,14.5,1993,"s","LAW","gaussian",1,9,0,-2.01869488536155,-6.40776014109348,-53.3252204585538,3
"4948",4422,13.6,1993,"s","LAW","gaussian",1,12,0,-2.01869488536155,-3.40776014109348,-53.3252204585538,3
"4921",12477,16.6,1993,"s","LAW","gaussian",1,12,0,1.98130511463845,-6.40776014109348,-53.3252204585538,3
"4918",7982,15,1993,"s","LAW","gaussian",1,9,0,1.98130511463845,-6.40776014109348,-53.3252204585538,3
"5308",9584,11.2,1995,"s","LAW","gaussian",1,4,0,4.98130511463845,-19.4077601410935,-139.325220458554,5
"5630",3153,15,1996,"s","LAW","gaussian",1,1,0,0.981305114638445,5.59223985890652,78.6747795414462,6
"5578",12831,15.9,1996,"s","LAW","gaussian",1,6,0,0.981305114638445,2.59223985890652,78.6747795414462,6
"4634",12944,12,1991,"s","LAW","gaussian",1,1,0,3.98130511463845,1.59223985890652,-82.3252204585538,1
"4725",11251,12.1,1992,"s","LAW","gaussian",1,2,0,-2.01869488536155,-10.4077601410935,-175.325220458554,2
"5185",3540,13.3,1994,"s","LAW","gaussian",1,11,0,5.98130511463845,-2.40776014109348,-61.3252204585538,4
"5600",5221,14.5,1996,"s","LAW","gaussian",1,1,0,0.981305114638445,6.59223985890652,78.6747795414462,6
"7602",3518,13.75,2003,"s","LAW","gaussian",1,9,0,-2.01869488536155,6.59223985890652,-2.32522045855382,13
"5312",443,15,1995,"s","LAW","gaussian",1,10,0,5.98130511463845,-10.4077601410935,-139.325220458554,5
"7353",11309,13,2001,"s","LAW","gaussian",1,1,0,-1.01869488536155,-4.40776014109348,154.674779541446,11
"6018",287,12.9,1998,"s","LAW","gaussian",1,1,0,-3.01869488536155,-4.40776014109348,94.6747795414462,7
"5168",12337,12.7,1994,"s","LAW","gaussian",1,1,0,3.98130511463845,-3.40776014109348,-61.3252204585538,3
"5749",2913,13.7,1997,"s","LAW","gaussian",1,10,0,-3.01869488536155,-10.4077601410935,45.6747795414462,6
"5036",2269,12.2,1993,"s","LAW","gaussian",1,1,0,1.98130511463845,4.59223985890652,-53.3252204585538,2
"5793",1701,11.9,1997,"s","LAW","gaussian",1,1,0,0.981305114638445,-2.40776014109348,45.6747795414462,6
"4943",12635,13.9,1993,"s","LAW","gaussian",1,9,0,2.98130511463845,-5.40776014109348,-53.3252204585538,2
"6050",14224,13,1998,"s","LAW","gaussian",1,1,0,-2.01869488536155,-2.40776014109348,94.6747795414462,7
"5323",5,14.9,1995,"s","LAW","gaussian",1,11,0,5.98130511463845,-3.40776014109348,-139.325220458554,4
"6261",6002,14.2,1999,"s","LAW","gaussian",1,3,0,2.98130511463845,-10.4077601410935,-171.325220458554,8
"6070",8696,12.6,1998,"s","LAW","gaussian",1,1,0,-3.01869488536155,0.592239858906524,94.6747795414462,7
"5238",2767,13.4,1994,"s","LAW","gaussian",1,8,0,1.98130511463845,-3.40776014109348,-61.3252204585538,3
"5571",588,11.9,1996,"s","LAW","gaussian",1,1,0,0.981305114638445,1.59223985890652,78.6747795414462,5
"6011",11339,13.7,1998,"s","LAW","gaussian",1,1,0,-3.01869488536155,-4.40776014109348,94.6747795414462,7
"6696",13638,13.4,2001,"s","LAW","gaussian",1,1,0,-7.01869488536155,-18.4077601410935,154.674779541446,9
"7537",1192,12.05,2003,"s","LAW","gaussian",1,9,0,-2.01869488536155,-1.40776014109348,-2.32522045855382,11
"6757",13615,13.2,2001,"s","LAW","gaussian",1,1,0,-4.01869488536155,2.59223985890652,154.674779541446,9
"5579",14046,13.1,1996,"s","LAW","gaussian",1,1,0,1.98130511463845,2.59223985890652,78.6747795414462,4
"6552",5798,17.7,2000,"s","LAW","gaussian",1,2,0,-4.01869488536155,-7.40776014109348,-35.3252204585538,8
"5800",8832,11.8,1997,"s","LAW","gaussian",1,11,0,-3.01869488536155,-1.40776014109348,45.6747795414462,5
"5400",3571,14.8,1995,"s","LAW","gaussian",1,10,0,0.981305114638445,8.59223985890652,-139.325220458554,3
"6052",4758,13.7,1998,"s","LAW","gaussian",1,1,0,-0.0186948853615547,-0.407760141093476,94.6747795414462,6
"7795",11877,12.65,2004,"s","LAW","gaussian",1,1,0,5.98130511463845,-9.40776014109348,174.674779541446,12
"5657",7963,14.2,1996,"s","LAW","gaussian",1,3,0,1.98130511463845,21.5922398589065,78.6747795414462,4
"5406",13525,11.2,1995,"s","LAW","gaussian",1,1,0,0.981305114638445,9.59223985890652,-139.325220458554,3
"5865",10126,14.5,1997,"s","LAW","gaussian",1,1,0,-3.01869488536155,3.59223985890652,45.6747795414462,5
"6692",7259,15.9,2001,"s","LAW","gaussian",1,1,0,-12.0186948853616,3.59223985890652,154.674779541446,9
"5573",7388,13.9,1996,"s","LAW","gaussian",1,1,0,0.981305114638445,1.59223985890652,78.6747795414462,4
"6076",10135,11.3,1998,"s","LAW","gaussian",1,4,0,-3.01869488536155,-0.407760141093476,94.6747795414462,6
"5877",4941,12.4,1997,"s","LAW","gaussian",1,1,0,-3.01869488536155,5.59223985890652,45.6747795414462,5
"7614",7860,13.1,2003,"s","LAW","gaussian",1,8,0,3.98130511463845,1.59223985890652,-2.32522045855382,11
"6349",14311,13,1999,"s","LAW","gaussian",1,10,0,-1.01869488536155,3.59223985890652,-171.325220458554,7
"6017",107,13.1,1998,"s","LAW","gaussian",1,1,0,-3.01869488536155,-4.40776014109348,94.6747795414462,6
