"","id","animal","time","y","Twin","Sex","Horn","BirthYear","PopDensBirth","MumID","jdate","PopDensCap","CapAgeYears","horngeno","trait","measure","family","MumAge","PopDens","AgeMC","jdateMC","MumAgeMC","PopDensMC"
"461",8949,8949,0,1,0,2,3,1999,325,3289,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"462",3655,3655,0,1,0,2,3,1999,325,3076,0,NA,0,NA,"s","S1","threshold",5,325,0,0,0.303822670560128,-171.782900943396
"465",10261,10261,0,1,0,2,3,1999,325,2460,0,NA,0,NA,"s","S1","threshold",8,325,0,0,3.30382267056013,-171.782900943396
"468",2095,2095,0,1,0,2,3,2000,461,3659,0,NA,0,NA,"s","S1","threshold",3,461,0,0,-1.69617732943987,-35.7829009433962
"469",6437,6437,0,1,0,2,3,2000,461,3607,0,NA,0,NA,"s","S1","threshold",4,461,0,0,-0.696177329439872,-35.7829009433962
"472",8019,8019,0,1,0,2,1,2000,461,3237,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"474",13930,13930,0,1,0,2,3,1999,325,3209,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"479",12070,12070,0,1,0,2,3,2001,651,3420,0,NA,0,NA,"s","S1","threshold",5,651,0,0,0.303822670560128,154.217099056604
"480",1964,1964,0,1,0,2,3,2000,461,3945,0,NA,0,NA,"s","S1","threshold",2,461,0,0,-2.69617732943987,-35.7829009433962
"491",4546,4546,0,1,0,2,3,1999,325,3259,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
