"","animal","dam","sire"
"786",5275,NA,NA
"787",13751,NA,NA
"788",11444,NA,NA
"789",4837,NA,NA
"790",1879,NA,NA
"791",2102,NA,NA
"792",10037,NA,NA
"793",3242,NA,NA
"794",7287,NA,NA
"795",975,NA,NA
"796",9068,NA,NA
"797",6095,NA,NA
"798",14275,NA,NA
"799",14132,NA,NA
"800",10770,NA,NA
"801",2743,NA,NA
"802",8444,NA,NA
"803",6976,NA,NA
"804",423,NA,NA
"805",12131,NA,NA
"806",8135,NA,NA
"807",177,NA,NA
"808",10970,NA,NA
"809",8532,NA,NA
"810",4100,NA,NA
"811",12262,NA,NA
"812",9371,NA,NA
"813",10060,NA,NA
"814",2861,NA,NA
"815",367,NA,NA
"816",9056,NA,NA
"817",7567,NA,NA
"818",13653,NA,NA
"819",10607,NA,NA
"820",2500,NA,NA
"821",13127,NA,NA
"822",6143,NA,NA
"823",9069,NA,NA
"824",13156,NA,NA
"825",1019,NA,NA
"826",9825,NA,NA
"827",4536,NA,NA
"828",1941,NA,NA
"829",2030,NA,NA
"830",11877,NA,NA
"831",6711,NA,NA
"832",1570,NA,NA
"833",13314,NA,NA
"834",11074,NA,NA
"835",4990,NA,NA
"836",13071,NA,NA
"837",13986,NA,NA
"838",5394,NA,NA
"839",12790,NA,NA
"840",4518,NA,NA
"841",3234,NA,NA
"842",2327,NA,NA
"843",12111,NA,NA
"844",12078,NA,NA
"845",11811,NA,NA
"846",6838,NA,NA
"847",943,NA,NA
"848",8100,NA,NA
"849",13555,NA,NA
"850",3902,NA,NA
"851",3950,NA,NA
"852",672,NA,NA
"853",14260,NA,NA
"854",6900,NA,NA
"855",12469,NA,NA
"856",8069,NA,NA
"857",5003,NA,NA
"858",13169,NA,NA
"859",6234,NA,NA
"860",11538,NA,NA
"861",9808,NA,NA
"862",4872,NA,NA
"863",3238,NA,NA
"864",11860,NA,NA
"865",13891,NA,NA
"866",10416,NA,NA
"867",6067,NA,NA
"868",3526,NA,NA
"869",8384,NA,NA
"870",9661,NA,NA
"871",6537,NA,NA
"872",12350,NA,NA
"873",3861,NA,NA
"874",10978,NA,NA
"875",2058,NA,NA
"876",8807,NA,NA
"877",2068,NA,NA
"878",3636,NA,NA
"879",12931,NA,NA
"880",14048,NA,NA
"881",5115,NA,NA
"882",5179,NA,NA
"883",10430,NA,NA
"884",3945,NA,NA
"885",11521,NA,NA
"886",8410,NA,NA
"887",4070,NA,NA
"888",12414,NA,NA
"889",844,NA,NA
"890",263,NA,NA
"891",3558,NA,NA
"892",3820,NA,NA
"893",14250,NA,NA
"894",8573,NA,NA
"895",8233,NA,NA
"896",7457,NA,NA
"897",14290,NA,NA
"898",1996,NA,NA
"899",4024,NA,NA
"900",5762,NA,NA
"901",1135,NA,NA
"902",9476,NA,NA
