"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"4596",1834,0,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4597",1297,0,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4600",1085,1,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"6369",10867,31,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"6370",9825,2,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"6377",12668,34,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"6390",4044,7,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"6407",8537,16,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"6536",12802,0,2001,"s","LBS","poisson",0,0,0,216.971354166667
"6537",5580,4,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"6551",1788,31,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"6794",8873,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6795",10827,6,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6797",11837,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6799",9620,53,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6800",9229,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6801",5949,6,2002,"s","LBS","poisson",0,1,0,-99.0286458333333
"6802",9757,2,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6803",11005,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6805",3376,5,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6806",8210,4,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6809",12138,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6811",4117,2,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6813",13253,5,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6814",5426,107,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6818",12076,2,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6820",3333,0,2002,"s","LBS","poisson",0,1,0,-99.0286458333333
"6821",11300,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6822",9598,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6824",13829,0,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6826",4973,0,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6827",3761,1,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"6881",8818,32,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
