"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"2816",4396,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2836",8519,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2859",3507,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2861",12657,3,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2873",12670,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2877",2068,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2881",10146,14,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2902",12841,15,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2913",1245,15,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"3032",5025,0,1994,"s","LBS","poisson",0,0,0,23.0692124105012
"3059",13521,1,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"3062",437,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3063",12752,16,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3064",3806,0,1996,"s","LBS","poisson",0,1,0,163.069212410501
"3067",13985,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3069",6342,1,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3070",1120,2,1996,"s","LBS","poisson",0,1,0,163.069212410501
"3197",3073,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3202",14037,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3203",6694,12,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3204",2463,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3249",5007,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3254",7906,1,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3319",11731,0,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3320",1632,0,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3322",13880,0,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3324",9208,0,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3399",4469,4,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3401",320,0,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3404",10173,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3469",140,0,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3472",3559,8,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3481",13920,0,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3535",5708,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3551",4024,0,1996,"s","LBS","poisson",0,0,0,163.069212410501
"3552",9393,0,1996,"s","LBS","poisson",0,1,0,163.069212410501
"3553",3644,6,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"3778",229,2,1998,"s","LBS","poisson",0,0,0,179.069212410501
"3874",10457,4,1997,"s","LBS","poisson",0,0,0,130.069212410501
"3990",4597,2,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"3991",9060,1,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"3992",1858,49,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"3994",1260,2,1999,"s","LBS","poisson",0,1,0,-86.9307875894988
"3995",5865,25,1999,"s","LBS","poisson",0,1,0,-86.9307875894988
"3996",5893,10,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"3997",6898,1,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4004",10634,0,1999,"s","LBS","poisson",0,1,0,-86.9307875894988
"4056",2508,3,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4057",11665,0,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4058",2027,2,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4059",8425,0,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4060",10767,0,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4061",6381,2,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4063",8882,2,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4114",9348,2,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4116",2265,48,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4120",2825,8,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4125",1107,17,1996,"s","LBS","poisson",0,1,0,163.069212410501
"4138",11193,1,1999,"s","LBS","poisson",0,1,0,-86.9307875894988
"4139",7258,5,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4356",6594,1,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4358",6306,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4363",3070,0,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4364",8593,69,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4365",2457,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4367",12363,3,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4369",977,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4371",8765,21,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4372",13543,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4374",11832,1,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4377",2089,1,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4379",355,3,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4380",7793,0,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4382",7408,0,1999,"s","LBS","poisson",0,1,0,-86.9307875894988
"4384",554,7,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4444",5848,1,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4445",1846,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4446",11646,0,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4449",4968,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4452",425,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4453",649,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4503",10186,0,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4504",8939,0,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4506",4083,1,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4507",10722,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4509",8456,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4512",14275,1,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4513",1719,1,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4518",7121,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4520",12724,13,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4590",697,0,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"4591",4982,0,2000,"s","LBS","poisson",0,1,0,49.0692124105012
"4595",7737,0,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4596",1834,0,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4597",1297,0,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"4600",1085,1,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"6369",10867,31,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"6370",9825,2,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"6377",12668,34,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"6407",8537,16,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"6536",12802,0,2001,"s","LBS","poisson",0,0,0,239.069212410501
"6537",5580,4,2000,"s","LBS","poisson",0,0,0,49.0692124105012
"6551",1788,31,1999,"s","LBS","poisson",0,0,0,-86.9307875894988
"6794",8873,1,2002,"s","LBS","poisson",0,0,0,-76.9307875894988
