"","ID","Weight","CapAgeYears","Sex","Twin","jdateMC","PopDensMC","CapYear","BirthYear","animal"
"1287",8610,25.9,4,1,0,1.38777638715061,-94.8241551939925,1991,1987,8610
"1288",9166,26.4,4,1,0,1.38777638715061,-94.8241551939925,1991,1987,9166
"1307",13997,14.7,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,13997
"1308",8195,23.4,1,2,0,1.38777638715061,-94.8241551939925,1991,1990,8195
"1309",10556,21,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,10556
"1310",7159,26,1,2,0,1.38777638715061,-94.8241551939925,1991,1990,7159
"1311",5344,25.8,1,2,0,1.38777638715061,-94.8241551939925,1991,1990,5344
"1312",2725,29.6,1,2,0,1.38777638715061,-94.8241551939925,1991,1990,2725
"1313",7303,24,1,2,1,1.38777638715061,-94.8241551939925,1991,1990,7303
"1314",6737,18.7,1,1,1,1.38777638715061,-94.8241551939925,1991,1990,6737
"1315",12175,31,2,2,0,1.38777638715061,-94.8241551939925,1991,1989,12175
"1316",2803,31.9,2,2,1,1.38777638715061,-94.8241551939925,1991,1989,2803
"1317",11590,33,2,2,0,1.38777638715061,-94.8241551939925,1991,1989,11590
"1318",3773,20.4,3,1,1,1.38777638715061,-94.8241551939925,1991,1988,3773
"1319",10049,26.7,4,1,0,1.38777638715061,-94.8241551939925,1991,1987,10049
"1326",1971,15.2,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,1971
"1328",3610,32.9,2,2,0,1.38777638715061,-94.8241551939925,1991,1989,3610
"1329",7405,30.7,2,2,0,1.38777638715061,-94.8241551939925,1991,1989,7405
"1331",13190,23.8,6,1,0,1.38777638715061,-94.8241551939925,1991,1985,13190
"1333",5401,16.1,1,1,1,1.38777638715061,-94.8241551939925,1991,1990,5401
"1334",3808,20.4,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,3808
"1335",2562,21.7,2,1,0,1.38777638715061,-94.8241551939925,1991,1989,2562
"1339",13051,16,1,2,1,1.38777638715061,-94.8241551939925,1991,1990,13051
"1340",2155,18.5,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,2155
"1341",7267,29,2,2,0,1.38777638715061,-94.8241551939925,1991,1989,7267
"1342",10095,30,2,2,0,1.38777638715061,-94.8241551939925,1991,1989,10095
"1350",9546,24.2,1,2,0,2.38777638715061,-94.8241551939925,1991,1990,9546
"1351",2182,20.1,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,2182
"1352",13304,17.2,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,13304
"1353",4000,19,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,4000
"1354",7557,18,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,7557
"1355",9744,20.8,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,9744
"1356",5489,24.6,2,1,0,2.38777638715061,-94.8241551939925,1991,1989,5489
"1357",11954,23.5,2,1,0,2.38777638715061,-94.8241551939925,1991,1989,11954
"1358",2132,22.2,3,1,0,2.38777638715061,-94.8241551939925,1991,1988,2132
"1359",9806,23.8,4,1,0,2.38777638715061,-94.8241551939925,1991,1987,9806
"1360",4932,25,4,1,0,2.38777638715061,-94.8241551939925,1991,1987,4932
"1361",8323,29.2,5,1,0,2.38777638715061,-94.8241551939925,1991,1986,8323
"1362",5625,24.6,5,1,0,2.38777638715061,-94.8241551939925,1991,1986,5625
"1374",471,18.8,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,471
"1375",6885,20.1,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,6885
"1376",13506,17.7,2,1,1,2.38777638715061,-94.8241551939925,1991,1989,13506
"1377",11699,18.1,2,1,0,2.38777638715061,-94.8241551939925,1991,1989,11699
"1379",4263,18.8,3,1,1,2.38777638715061,-94.8241551939925,1991,1988,4263
"1380",1996,24,4,1,1,2.38777638715061,-94.8241551939925,1991,1987,1996
"1385",3245,29,4,1,0,2.38777638715061,-94.8241551939925,1991,1987,3245
"1386",12282,21.8,4,1,0,2.38777638715061,-94.8241551939925,1991,1987,12282
"1401",12134,22.1,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,12134
"1402",9425,16.5,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,9425
"1403",9270,18,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,9270
"1404",968,21.2,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,968
"1405",8553,11.4,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,8553
"1406",2380,21.7,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,2380
"1407",6712,22.8,1,2,0,2.38777638715061,-94.8241551939925,1991,1990,6712
"1408",2208,14.4,1,2,0,2.38777638715061,-94.8241551939925,1991,1990,2208
"1409",11436,24.7,1,2,0,2.38777638715061,-94.8241551939925,1991,1990,11436
"1410",8341,20.8,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,8341
"1411",13524,27.8,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,13524
"1413",5709,23.8,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,5709
"1414",5562,20.7,2,2,0,2.38777638715061,-94.8241551939925,1991,1989,5562
"1415",11348,30.7,2,2,1,2.38777638715061,-94.8241551939925,1991,1989,11348
"1416",7678,17,2,1,0,2.38777638715061,-94.8241551939925,1991,1989,7678
"1417",3991,22.4,3,1,0,2.38777638715061,-94.8241551939925,1991,1988,3991
"1418",13105,21.2,4,1,0,2.38777638715061,-94.8241551939925,1991,1987,13105
"1419",8328,25.1,4,1,0,2.38777638715061,-94.8241551939925,1991,1987,8328
"1420",12736,27.9,5,1,0,2.38777638715061,-94.8241551939925,1991,1986,12736
"1426",3215,21.2,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,3215
"1436",7638,15.2,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,7638
"1437",6177,24.4,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,6177
"1438",11283,22.2,2,1,0,2.38777638715061,-94.8241551939925,1991,1989,11283
"1439",10784,22,2,1,0,2.38777638715061,-94.8241551939925,1991,1989,10784
"1440",7338,19,2,1,1,2.38777638715061,-94.8241551939925,1991,1989,7338
"1441",5771,25.7,3,1,0,2.38777638715061,-94.8241551939925,1991,1988,5771
"1446",8725,18.4,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,8725
"1459",13426,15.9,1,1,0,2.38777638715061,-94.8241551939925,1991,1990,13426
"1460",13000,22.7,1,2,0,2.38777638715061,-94.8241551939925,1991,1990,13000
"1461",10387,22.2,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,10387
"1462",4413,19.6,1,1,1,2.38777638715061,-94.8241551939925,1991,1990,4413
"1463",13995,22.6,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,13995
"1464",5910,25.7,1,2,1,2.38777638715061,-94.8241551939925,1991,1990,5910
"1466",4130,31.5,2,2,0,2.38777638715061,-94.8241551939925,1991,1989,4130
"1467",11688,21.9,3,1,0,2.38777638715061,-94.8241551939925,1991,1988,11688
"1472",1438,14.6,1,2,0,2.38777638715061,-94.8241551939925,1991,1990,1438
"1477",6570,23.3,4,1,0,3.38777638715061,-94.8241551939925,1991,1987,6570
"1479",1475,18,1,1,0,3.38777638715061,-94.8241551939925,1991,1990,1475
"1480",11829,27.4,1,2,0,3.38777638715061,-94.8241551939925,1991,1990,11829
"1482",1641,23.8,4,2,1,3.38777638715061,-94.8241551939925,1991,1987,1641
"1483",4870,14.2,1,2,1,3.38777638715061,-94.8241551939925,1991,1990,4870
"1486",10396,20.2,1,2,0,3.38777638715061,-94.8241551939925,1991,1990,10396
"1487",4489,24.4,1,2,0,3.38777638715061,-94.8241551939925,1991,1990,4489
"1488",280,18.2,1,1,0,3.38777638715061,-94.8241551939925,1991,1990,280
"1492",8067,28.8,1,2,0,4.38777638715061,-94.8241551939925,1991,1990,8067
"1493",3678,16,1,1,0,4.38777638715061,-94.8241551939925,1991,1990,3678
"1495",934,14.8,1,2,1,4.38777638715061,-94.8241551939925,1991,1990,934
"1496",12317,16.8,2,1,1,4.38777638715061,-94.8241551939925,1991,1989,12317
"1497",3231,30.8,4,1,0,4.38777638715061,-94.8241551939925,1991,1987,3231
"1501",975,18.9,1,1,1,4.38777638715061,-94.8241551939925,1991,1990,975
"1502",12643,21.3,2,1,0,4.38777638715061,-94.8241551939925,1991,1989,12643
"1503",5641,27.4,1,2,0,4.38777638715061,-94.8241551939925,1991,1990,5641
"1504",8728,15.4,1,2,0,4.38777638715061,-94.8241551939925,1991,1990,8728
"1507",6925,17.8,1,1,0,5.38777638715061,-94.8241551939925,1991,1990,6925
"1508",1354,18,1,1,0,5.38777638715061,-94.8241551939925,1991,1990,1354
"1509",1633,20.7,2,1,0,5.38777638715061,-94.8241551939925,1991,1989,1633
"1513",9531,18,1,1,1,5.38777638715061,-94.8241551939925,1991,1990,9531
"1515",11532,27.6,1,2,1,5.38777638715061,-94.8241551939925,1991,1990,11532
"1516",875,29,1,2,0,5.38777638715061,-94.8241551939925,1991,1990,875
"1518",10354,24.6,1,2,0,5.38777638715061,-94.8241551939925,1991,1990,10354
"1519",9765,26.8,1,2,0,5.38777638715061,-94.8241551939925,1991,1990,9765
"1521",9032,13.4,1,1,0,5.38777638715061,-94.8241551939925,1991,1990,9032
"1534",2943,17.2,2,1,1,6.38777638715061,-94.8241551939925,1991,1989,2943
"1535",6061,25.8,4,1,0,6.38777638715061,-94.8241551939925,1991,1987,6061
"1604",14124,23.5,1,2,0,-1.61222361284939,-187.824155193993,1992,1991,14124
"1605",4000,19.9,2,1,0,-1.61222361284939,-187.824155193993,1992,1990,4000
"1606",1633,21.5,3,1,0,-1.61222361284939,-187.824155193993,1992,1989,1633
"1615",11699,19.5,3,1,0,-1.61222361284939,-187.824155193993,1992,1989,11699
"1616",4263,22.7,4,1,1,-1.61222361284939,-187.824155193993,1992,1988,4263
"1617",1996,22.4,5,1,1,-1.61222361284939,-187.824155193993,1992,1987,1996
"1621",12282,24.2,5,1,0,-1.61222361284939,-187.824155193993,1992,1987,12282
"1632",9482,20.9,1,2,0,-1.61222361284939,-187.824155193993,1992,1991,9482
"1633",12134,24.3,2,1,0,-1.61222361284939,-187.824155193993,1992,1990,12134
"1634",12538,21.3,2,1,0,-1.61222361284939,-187.824155193993,1992,1990,12538
"1635",11532,29.8,2,2,1,-1.61222361284939,-187.824155193993,1992,1990,11532
"1636",875,30.6,2,2,0,-1.61222361284939,-187.824155193993,1992,1990,875
