"","LambHindLeg","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"4622",181,1,14239,1,0,6.287254280279,-88.7064045656309,-1.20435263740318,1991
"4775",165,1,13261,1,0,-0.712745719720999,-181.706404565631,1.79564736259682,1992
"4208",162,1,807,1,0,10.287254280279,-45.7064045656309,-0.204352637403176,1988
"5381",159,1,6980,1,0,5.287254280279,-145.706404565631,6.79564736259682,1995
"4454",176,1,5709,1,0,2.287254280279,-212.706404565631,5.79564736259682,1990
"4385",168,1,6925,1,0,2.287254280279,-212.706404565631,-0.204352637403176,1990
"4761",166,1,7049,1,0,-1.712745719721,-181.706404565631,-0.204352637403176,1992
"4499",168,1,4000,1,0,0.287254280279001,-212.706404565631,15.7956473625968,1990
"5123",165,1,13701,1,0,2.287254280279,-67.7064045656309,-9.20435263740318,1994
"4503",169,1,6885,1,0,0.287254280279001,-212.706404565631,9.79564736259682,1990
"4760",172,1,6820,1,0,-0.712745719720999,-181.706404565631,-0.204352637403176,1992
"4483",168,1,10374,1,0,0.287254280279001,-212.706404565631,4.79564736259682,1990
"5599",172,1,10527,1,0,4.287254280279,72.2935954343691,5.79564736259682,1996
"5163",167,1,10336,1,0,2.287254280279,-67.7064045656309,-4.20435263740318,1994
"4813",158,1,10670,1,0,-1.712745719721,-181.706404565631,-5.20435263740318,1992
"5329",161,1,10857,1,0,6.287254280279,-145.706404565631,-2.20435263740318,1995
"5988",158,1,13831,1,0,0.287254280279001,88.2935954343691,-14.2043526374032,1998
"6367",150,1,5275,1,0,-2.712745719721,-177.706404565631,13.7956473625968,1999
"4821",162,1,12023,1,0,-0.712745719720999,-181.706404565631,0.795647362596824,1992
"4748",153,1,6109,1,0,-0.712745719720999,-181.706404565631,-2.20435263740318,1992
"5369",157,1,3027,1,0,1.287254280279,-145.706404565631,3.79564736259682,1995
"4785",161,1,4831,1,0,-1.712745719721,-181.706404565631,2.79564736259682,1992
