"","id","y","time","trait","measure","family","CapAgeYears","Sex","Twin","jdateMC","PopDensMC"
"1326",1971,5,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1333",5401,1,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1334",3808,2,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1339",13051,1,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1340",2155,1,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1350",9546,7,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1351",2182,5,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1352",13304,2,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1353",4000,10,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1354",7557,2,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1355",9744,7,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1356",5489,0,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1374",471,5,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1375",6885,11,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1379",4263,10,1988,"s","LBS","poisson",0,1,1,0,27.9351778656127
"1401",12134,0,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1402",9425,5,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1403",9270,9,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1404",968,12,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1405",8553,0,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1406",2380,11,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1407",6712,5,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1408",2208,1,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1409",11436,15,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1410",8341,2,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1411",13524,3,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1413",5709,17,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1415",11348,23,1989,"s","LBS","poisson",0,2,1,0,-218.064822134387
"1416",7678,5,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1418",13105,9,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1426",3215,0,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1436",7638,19,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1437",6177,3,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1441",5771,0,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1446",8725,10,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1459",13426,11,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
