"","ID","LambAugWeight","LambHindLeg","LambHornLen","LambBolCirc","Sex","PopDensBirth","MumAge","Twin","CapJDate"
"10789",2448,13.3,162,NA,NA,1,362,5,0,226
"12199",12813,11.55,161,NA,190,2,513,8,0,218
"9272",9804,11.9,159,40,185,2,617,2,0,223
"9591",1725,11.7,159,127,190,2,672,3,0,221
"10291",1269,12.5,156,NA,190,2,649,4,0,222
"11127",10269,14.8,169,122,210,2,545,6,0,226
"11881",6375,14.8,170,99,195,2,482,7,0,220
"12275",5478,10.45,150,NA,NA,1,513,8,0,218
"12630",4301,8.7,144,NA,NA,1,444,9,0,226
"12867",11704,10.9,158,NA,190,2,528,10,0,223
"9353",7587,12.7,159,NA,NA,1,617,2,0,229
"10799",9512,12.5,155,NA,NA,1,362,5,0,228
"10996",9897,17.9,169,140,210,2,545,6,0,233
"9723",4826,10.2,156,95,110,2,672,3,0,221
"10793",4792,12.6,167,NA,NA,1,362,5,0,226
"11901",10842,11.7,160,46,185,2,482,7,0,220
"12329",12126,11.55,161,NA,NA,1,513,8,0,218
"10361",5836,8.5,143,36,125,2,649,4,0,222
"12255",52,7.8,149,55,125,2,513,8,0,221
"11781",4918,14.8,167,NA,215,2,482,7,0,230
"12419",13852,10.7,154,111,170,2,513,8,0,228
"9129",9449,10.9,153,99,150,2,617,2,0,224
"9454",7481,12.1,153,98,175,2,672,3,0,221
"11737",13627,11.75,153,NA,NA,1,482,7,0,230
"12156",11507,11.55,153,NA,NA,1,513,8,0,218
"12868",10344,10.45,153,NA,NA,1,528,10,0,226
"9483",2654,15.4,167,75,230,2,672,3,0,230
"10999",7490,15.6,168,NA,NA,1,545,6,0,233
"10269",13126,11.9,159,90,210,2,649,4,0,226
"9251",8243,11.3,158,110,205,2,617,2,0,223
"9592",9419,11.6,168,NA,200,2,672,3,0,221
"9266",13899,10.1,150,130,165,2,617,2,0,224
"10743",6034,8.9,143,NA,NA,1,362,5,0,228
"11222",3514,11.9,163,126,145,2,545,6,0,226
"9233",8729,9.8,145,115,130,2,617,2,0,223
"10468",13654,11.4,166,69,145,2,649,4,0,222
"10471",8719,11.7,160,111,160,2,649,4,0,222
"9694",14132,7.8,149,NA,NA,1,672,3,0,223
"11853",11431,13.3,164,NA,NA,1,482,7,0,220
"12311",3344,17.35,135,NA,NA,1,513,8,0,221
"10338",14054,12.2,158,NA,185,2,649,4,0,224
"12292",2735,10.5,149,NA,NA,1,513,8,0,221
"10514",2209,10.7,158,127,180,2,649,4,0,226
"11204",7937,14.7,165,NA,NA,1,545,6,0,231
"11012",5021,16.5,174,NA,NA,1,545,6,0,231
"12513",7623,15.35,163,79,215,2,444,9,0,226
"9001",9561,11.5,159,123,174,2,567,2,0,225
"10243",11990,12.6,153,124,195,2,649,3,0,226
"10257",7439,12.7,165,90,210,2,649,3,0,226
"11206",10549,13.3,165,NA,NA,1,545,5,0,231
"10234",5075,10.9,156,136,170,2,649,3,0,226
"11741",12710,14.65,158,165,210,2,482,6,0,230
"11079",4336,12.9,159,167,185,2,545,5,0,223
"11750",13517,13.8,167,101,190,2,482,6,0,230
"13039",11346,14,167,86,195,2,378,10,0,223
