"","LambAugWeight","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"13490",10.25,0,13808,1,1,-2.96837944664031,9.75494071146244,3.59223985890652,2019
"13516",12.65,0,10103,2,1,0.0316205533596872,9.75494071146244,6.59223985890652,2019
"13517",9.5,0,5356,1,1,0.0316205533596872,9.75494071146244,6.59223985890652,2019
"13518",7.1,0,11135,1,1,-2.96837944664031,9.75494071146244,6.59223985890652,2019
"13519",7.6,0,4169,2,1,-2.96837944664031,9.75494071146244,6.59223985890652,2019
"13521",10.35,0,6926,1,1,-2.96837944664031,9.75494071146244,7.59223985890652,2019
"13522",8.55,0,819,1,1,-2.96837944664031,9.75494071146244,7.59223985890652,2019
"13543",7.1,0,10011,2,1,-2.96837944664031,9.75494071146244,8.59223985890652,2019
"13544",5.85,0,13744,2,1,-2.96837944664031,9.75494071146244,8.59223985890652,2019
"13549",7.75,0,9797,2,1,-2.96837944664031,9.75494071146244,11.5922398589065,2019
"13599",10.7,0,1540,2,1,-2.96837944664031,9.75494071146244,22.5922398589065,2019
"13600",10.15,0,889,2,1,-2.96837944664031,9.75494071146244,22.5922398589065,2019
"13922",11.4,1,7350,1,1,7.03162055335969,3.75494071146244,5.59223985890652,2020
"13807",11.2,1,2704,1,1,-6.96837944664031,3.75494071146244,-5.40776014109348,2020
"13813",14.2,1,6115,2,1,12.0316205533597,3.75494071146244,-3.40776014109348,2020
"13831",14.3,0,2634,2,1,7.03162055335969,3.75494071146244,-0.407760141093476,2020
"13835",9.1,1,10562,1,1,7.03162055335969,3.75494071146244,0.592239858906524,2020
"13836",9.5,1,8517,1,1,7.03162055335969,3.75494071146244,0.592239858906524,2020
"13838",10.15,1,12739,2,1,7.03162055335969,3.75494071146244,-1.40776014109348,2020
"13839",10.15,1,13616,2,1,7.03162055335969,3.75494071146244,-1.40776014109348,2020
"13841",10.8,0,8005,2,1,7.03162055335969,3.75494071146244,2.59223985890652,2020
"13954",13.7,1,12028,1,1,12.0316205533597,3.75494071146244,-3.40776014109348,2020
"13866",10.8,1,10071,1,1,11.0316205533597,3.75494071146244,-2.40776014109348,2020
"13894",13.25,1,13391,1,1,7.03162055335969,3.75494071146244,0.592239858906524,2020
"13895",12.55,1,8769,1,1,7.03162055335969,3.75494071146244,0.592239858906524,2020
"13913",10.65,0,770,2,1,10.0316205533597,3.75494071146244,2.59223985890652,2020
"13932",14,1,4384,2,1,0.0316205533596872,3.75494071146244,5.59223985890652,2020
"13993",10.25,0,8706,1,1,9.03162055335969,58.7549407114624,-13.4077601410935,2021
"13994",9.15,0,12092,1,1,9.03162055335969,58.7549407114624,-13.4077601410935,2021
"14032",10.6,0,7005,2,1,9.03162055335969,58.7549407114624,-4.40776014109348,2021
"14037",13.1,0,7952,2,1,7.03162055335969,58.7549407114624,-4.40776014109348,2021
"14054",7.65,1,347,1,1,7.03162055335969,58.7549407114624,-4.40776014109348,2021
"14055",9.9,0,10705,2,1,7.03162055335969,58.7549407114624,-4.40776014109348,2021
"14107",7.85,0,10312,2,1,2.03162055335969,58.7549407114624,2.59223985890652,2021
"14108",7.55,0,9108,1,1,2.03162055335969,58.7549407114624,2.59223985890652,2021
"14112",11.55,1,10434,1,1,0.0316205533596872,58.7549407114624,2.59223985890652,2021
"14111",12.45,0,5109,2,1,0.0316205533596872,58.7549407114624,2.59223985890652,2021
"14119",15.5,0,4091,2,1,0.0316205533596872,58.7549407114624,2.59223985890652,2021
"14156",12.3,0,6631,2,1,2.03162055335969,58.7549407114624,5.59223985890652,2021
"14170",12.95,0,9828,2,1,7.03162055335969,58.7549407114624,7.59223985890652,2021
"14352",11.85,0,14366,2,1,4.03162055335969,16.7549407114624,-6.40776014109348,2022
"14380",11.55,0,14403,2,1,-1.96837944664031,16.7549407114624,-3.40776014109348,2022
"14416",5.55,0,14347,2,1,4.03162055335969,16.7549407114624,-2.40776014109348,2022
"14417",8.3,0,14382,2,1,4.03162055335969,16.7549407114624,-2.40776014109348,2022
"14439",10.05,0,14351,1,1,-1.96837944664031,16.7549407114624,4.59223985890652,2022
"14468",9.4,0,14376,2,1,4.03162055335969,16.7549407114624,2.59223985890652,2022
"14469",6.65,0,14346,2,1,4.03162055335969,16.7549407114624,2.59223985890652,2022
"14013",14.35,1,2015,1,0,0.0316205533596872,58.7549407114624,-6.40776014109348,2021
"3993",19.5,1,4356,2,0,5.03162055335969,-167.245059288538,6.59223985890652,1987
"6761",8,0,3082,2,0,-0.968379446640313,152.754940711462,-7.40776014109348,2001
"6766",16.6,0,10092,2,0,-0.968379446640313,152.754940711462,1.59223985890652,2001
"6037",13.9,0,4632,2,0,-1.96837944664031,92.7549407114624,-3.40776014109348,1998
"3620",16.7,0,7171,2,0,16.0316205533597,10.7549407114624,3.59223985890652,1985
